Language Name,Occurrences,Most Frequent Language Combination,Most Frequent Topic,Primary Language Occurrences,Language Ranking Statistics,Bytes Written Statistics,Byte Distribution Statistics,Languages Used Statistics,Topics Used Statistics
Nix,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Vala,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Meson,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
M4,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Dart,3,,flutter,3,"{'sum': 3, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 384801, 'avg': 128267, 'std': 166656.2, 'var': 27774289831}","{'sum': 3.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 3, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 35, 'avg': 11.67, 'std': 5.51, 'var': 30.33}"
Cuda,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
VCL,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
PLpgSQL,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Ragel,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
NSIS,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
AppleScript,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Rich Text Format,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Jsonnet,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
IDL,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
ASP,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Scala,1,,apache-spark,1,"{'sum': 1, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 714, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 1.0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 1, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 5, 'avg': 0, 'std': 0, 'var': 0}"
Thrift,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Emacs Lisp,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
sed,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
DTrace,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
